# Note - 22085000
# ESC - E714011
# Poles - 2
# Gear Ratio - 1
# KV - 1100
# Graph Data - 2 Sessions - Saved Thursday, January 23, 2014
# Start Of Session - Sample Time: 1.000
# Reset Source (Cause of reset):  Normal Boot-up Sequence, 255
# Voltage Cutoff: 19.22
# Current Cutoff: 105.0
# Temperature Cutoff: 289.7
# Idle Times: 
Throttle    , Power-Out   , Voltage     , Ripple      , Current     , Temperature , Speed       , Gov. Gain   , BEC Voltage 
True        , True        , True        , True        , True        , True        , True        , True        , False       
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 85.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0564      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 88.7        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 87.9        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 89.5        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 86.4        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 90.2        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.18       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
1.0642      , 0.000       , 25.33       , 0.000       , 0.0         , 91.0        , 0           , 15          , 0.00        
